11,110,51500,2021,01,04,11,110,51500,5,1,033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
11,110,51500,2021,01,04,11,170,55500,9,1,093,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11,110,51500,2021,01,04,11,350,63000,1,1,053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
11,110,51500,2021,01,04,11,380,63100,3,1,034,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
11,110,51500,2021,01,04,11,590,67000,2,1,030,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,110,51500,2021,01,04,11,680,56500,3,9,036,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
11,110,51500,2021,01,04,41,117,60000,1,1,025,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
11,110,51500,2021,01,04,44,810,25000,1,1,033,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
11,110,51500,2021,01,04,48,129,57000,1,1,027,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
11,110,51500,2021,01,05,11,110,51500,2,3,044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
11,110,51500,2021,01,05,11,170,64000,2,3,051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
11,110,51500,2021,01,05,11,290,63000,1,1,028,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
11,110,51500,2021,01,05,11,500,55000,5,1,031,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
11,110,51500,2021,01,05,11,710,60000,1,1,024,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
11,110,51500,2021,01,05,27,290,61500,1,1,045,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
11,110,51500,2021,01,05,41,285,51000,2,4,090,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
11,110,51500,2021,01,05,45,750,38000,1,1,040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
11,110,51500,2021,01,05,47,250,45000,9,4,070,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
11,110,51500,2021,01,06,11,260,61000,3,1,030,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
